id,category,role,audience,format,lens,context,prompt
1,写作,内容策略师,创始人,表格,效率,个人项目,任务编号 P0001。请扮演内容策略师。围绕“写作场景001-个人项目”中的文章、脚本、邮件、文案任务，面向创始人，制定一份可执行方案。请用表格输出，并从“效率”角度做重点判断。要求：语言简洁，不说空话；标注假设和不确定性；最后给出3条可立即执行的下一步。
2,写作,内容策略师,新手用户,邮件草稿,风险,质量波动,任务编号 P0002。请扮演内容策略师。围绕“写作场景002-质量波动”中的文章、脚本、邮件、文案任务，面向新手用户，列出关键问题并给出优先级。请用邮件草稿输出，并从“风险”角度做重点判断。要求：兼顾成本和效果；指出最容易忽略的细节；最后给出3条可立即执行的下一步。
3,写作,内容策略师,一线执行团队,路线图,增长,用户流失,任务编号 P0003。请扮演内容策略师。围绕“写作场景003-用户流失”中的文章、脚本、邮件、文案任务，面向一线执行团队，生成三种风格完全不同的版本。请用路线图输出，并从“增长”角度做重点判断。要求：指出最容易忽略的细节；避免专业黑话；最后给出3条可立即执行的下一步。
4,写作,内容策略师,开发团队,PRD片段,短期落地,内部培训,任务编号 P0004。请扮演内容策略师。围绕“写作场景004-内部培训”中的文章、脚本、邮件、文案任务，面向开发团队，把复杂内容改写成新手也能懂的说明。请用PRD片段输出，并从“短期落地”角度做重点判断。要求：包含可执行下一步；用中文输出；最后给出3条可立即执行的下一步。
5,写作,内容策略师,客服团队,表格,成本,需要复盘,任务编号 P0005。请扮演内容策略师。围绕“写作场景005-需要复盘”中的文章、脚本、邮件、文案任务，面向客服团队，设计一个从零到一的工作流。请用表格输出，并从“成本”角度做重点判断。要求：输出可直接复制使用；兼顾成本和效果；最后给出3条可立即执行的下一步。
6,写作,内容策略师,家长,邮件草稿,可维护性,时间紧迫,任务编号 P0006。请扮演内容策略师。围绕“写作场景006-时间紧迫”中的文章、脚本、邮件、文案任务，面向家长，创建检查清单并标注常见坑。请用邮件草稿输出，并从“可维护性”角度做重点判断。要求：保持中立客观；避免虚构事实；最后给出3条可立即执行的下一步。
7,写作,内容策略师,非技术读者,路线图,长期价值,成熟企业,任务编号 P0007。请扮演内容策略师。围绕“写作场景007-成熟企业”中的文章、脚本、邮件、文案任务，面向非技术读者，模拟专家评审并指出改进点。请用路线图输出，并从“长期价值”角度做重点判断。要求：先给结论再解释；包含失败预案；最后给出3条可立即执行的下一步。
8,写作,内容策略师,中小企业主,PRD片段,质量,需要降本,任务编号 P0008。请扮演内容策略师。围绕“写作场景008-需要降本”中的文章、脚本、邮件、文案任务，面向中小企业主，根据目标用户重写表达。请用PRD片段输出，并从“质量”角度做重点判断。要求：包含失败预案；语言简洁，不说空话；最后给出3条可立即执行的下一步。
9,写作,内容策略师,资深从业者,表格,用户体验,流程混乱,任务编号 P0009。请扮演内容策略师。围绕“写作场景009-流程混乱”中的文章、脚本、邮件、文案任务，面向资深从业者，提炼核心洞察并给出行动建议。请用表格输出，并从“用户体验”角度做重点判断。要求：用中文输出；按难易度排序；最后给出3条可立即执行的下一步。
10,写作,内容策略师,自由职业者,邮件草稿,学习曲线,数据不足,任务编号 P0010。请扮演内容策略师。围绕“写作场景010-数据不足”中的文章、脚本、邮件、文案任务，面向自由职业者，设计一套可量化指标。请用邮件草稿输出，并从“学习曲线”角度做重点判断。要求：标注假设和不确定性；先给结论再解释；最后给出3条可立即执行的下一步。
11,写作,内容策略师,设计团队,路线图,效率,公开发布,任务编号 P0011。请扮演内容策略师。围绕“写作场景011-公开发布”中的文章、脚本、邮件、文案任务，面向设计团队，把零散想法整理成结构化大纲。请用路线图输出，并从“效率”角度做重点判断。要求：按影响力排序；给出示例输入输出；最后给出3条可立即执行的下一步。
12,写作,内容策略师,投资人,PRD片段,风险,多方协作,任务编号 P0012。请扮演内容策略师。围绕“写作场景012-多方协作”中的文章、脚本、邮件、文案任务，面向投资人，生成可直接使用的模板。请用PRD片段输出，并从“风险”角度做重点判断。要求：必要时提出澄清问题；给出至少一个反例；最后给出3条可立即执行的下一步。
13,写作,内容策略师,海外用户,表格,增长,预算有限,任务编号 P0013。请扮演内容策略师。围绕“写作场景013-预算有限”中的文章、脚本、邮件、文案任务，面向海外用户，做一次反向推理找出隐藏风险。请用表格输出，并从“增长”角度做重点判断。要求：给出至少一个反例；保持中立客观；最后给出3条可立即执行的下一步。
14,写作,内容策略师,专家评审,邮件草稿,短期落地,初创团队,任务编号 P0014。请扮演内容策略师。围绕“写作场景014-初创团队”中的文章、脚本、邮件、文案任务，面向专家评审，给出低成本试验方案。请用邮件草稿输出，并从“短期落地”角度做重点判断。要求：按难易度排序；适合在一天内开始执行；最后给出3条可立即执行的下一步。
15,写作,内容策略师,大学生,路线图,成本,需要扩张,任务编号 P0015。请扮演内容策略师。围绕“写作场景015-需要扩张”中的文章、脚本、邮件、文案任务，面向大学生，创建对比表并推荐选择。请用路线图输出，并从“成本”角度做重点判断。要求：避免虚构事实；必要时提出澄清问题；最后给出3条可立即执行的下一步。
16,写作,内容策略师,管理层,PRD片段,可维护性,新市场验证,任务编号 P0016。请扮演内容策略师。围绕“写作场景016-新市场验证”中的文章、脚本、邮件、文案任务，面向管理层，把长内容压缩成高密度摘要。请用PRD片段输出，并从“可维护性”角度做重点判断。要求：避免专业黑话；输出可直接复制使用；最后给出3条可立即执行的下一步。
17,写作,内容策略师,内容创作者,表格,长期价值,竞品压力,任务编号 P0017。请扮演内容策略师。围绕“写作场景017-竞品压力”中的文章、脚本、邮件、文案任务，面向内容创作者，提出10个创新方向并排序。请用表格输出，并从“长期价值”角度做重点判断。要求：包含衡量标准；提供简短版本和完整版本；最后给出3条可立即执行的下一步。
18,写作,内容策略师,销售团队,邮件草稿,质量,准备上线,任务编号 P0018。请扮演内容策略师。围绕“写作场景018-准备上线”中的文章、脚本、邮件、文案任务，面向销售团队，设计30天训练计划。请用邮件草稿输出，并从“质量”角度做重点判断。要求：提供简短版本和完整版本；按影响力排序；最后给出3条可立即执行的下一步。
19,写作,内容策略师,教师,路线图,用户体验,高不确定性,任务编号 P0019。请扮演内容策略师。围绕“写作场景019-高不确定性”中的文章、脚本、邮件、文案任务，面向教师，构建决策树帮助判断下一步。请用路线图输出，并从“用户体验”角度做重点判断。要求：适合在一天内开始执行；包含可执行下一步；最后给出3条可立即执行的下一步。
